AT1G53720.1,cyclophilin 59
AT3G13180.1,NOL1/NOP2/sun family protein / antitermination NusB domain-containing protein
AT4G01870.1,tolB protein-related
AT1G63290.1,Aldolase-type TIM barrel family protein
AT5G56650.1,IAA-leucine resistant (ILR)-like 1
AT1G78370.1,glutathione S-transferase TAU 20
AT5G49220.1,Protein of unknown function (DUF789)
AT5G12140.1,cystatin-1
ATCG00740.1,RNA polymerase subunit alpha
AT3G29200.1,chorismate mutase 1
AT2G35020.1,N-acetylglucosamine-1-phosphate uridylyltransferase 2
AT2G34930.1,disease resistance family protein / LRR family protein
AT2G39170.1,unknown protein;CONTAINS InterPro DOMAIN/s: Protein of unknown function NEP (InterPro:IPR019320);Has 57 Blast hits to 57 proteins in 26 species: Archae - 0;Bacteria - 0;Metazoa - 19;Fungi - 0;Plants - 34;Viruses - 0;Other Eukaryotes - 4 (source: NCBI BLink).
AT1G74260.1,purine biosynthesis 4
AT4G01883.1,Polyketide cyclase / dehydrase and lipid transport protein
AT3G50440.1,methyl esterase 10
AT3G51750.1;AT3G51750.2;AT3G51750.3,unknown protein;Has 15 Blast hits to 14 proteins in 5 species: Archae - 0;Bacteria - 0;Metazoa - 0;Fungi - 0;Plants - 15;Viruses - 0;Other Eukaryotes - 0 (source: NCBI BLink).;unknown protein;Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798;Bacteria - 22429;Metazoa - 974;Fungi - 991;Plants - 531;Viruses - 0;Other Eukaryotes - 9610 (source: NCBI BLink).;unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: cellular_component unknown;EXPRESSED IN: 12 plant structures;EXPRESSED DURING: 9 growth stages.
AT5G40440.1,mitogen-activated protein kinase kinase 3
AT2G19460.1,Protein of unknown function (DUF3511)
AT2G34640.1,plastid transcriptionally active 12
AT3G23920.1,beta-amylase 1
AT1G76060.1,LYR family of Fe/S cluster biogenesis protein
AT5G43850.1,RmlC-like cupins superfamily protein
AT3G27620.1,alternative oxidase 1C
AT2G04530.1,Metallo-hydrolase/oxidoreductase superfamily protein
AT5G47040.1,lon protease 2
AT4G23400.1,plasma membrane intrinsic protein 1;5
AT3G16400.1;AT3G16400.2,nitrile specifier protein 1
AT1G17840.1,white-brown complex homolog protein 11
AT1G31690.1,Copper amine oxidase family protein
AT2G04450.1,nudix hydrolase homolog 6
AT5G39320.1,UDP-glucose 6-dehydrogenase family protein
AT1G25540.1;AT1G25540.2,phytochrome and flowering time regulatory protein (PFT1)
AT3G04550.1,"unknown protein;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast stroma, chloroplast;EXPRESSED IN: 22 plant structures;EXPRESSED DURING: 13 growth stages;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G28500.1);Has 110 Blast hits to 110 proteins in 51 species: Archae - 0;Bacteria - 67;Metazoa - 1;Fungi - 0;Plants - 41;Viruses - 0;Other Eukaryotes - 1 (source: NCBI BLink)."
AT3G16050.1,pyridoxine biosynthesis 1.2
AT1G32900.1,UDP-Glycosyltransferase superfamily protein
AT1G12520.1;AT1G12520.2,copper chaperone for SOD1
AT4G15820.1,BEST Arabidopsis thaliana protein match is: embryo defective 1703 (TAIR:AT3G61780.1);Has 524 Blast hits to 443 proteins in 102 species: Archae - 0;Bacteria - 13;Metazoa - 196;Fungi - 37;Plants - 43;Viruses - 3;Other Eukaryotes - 232 (source: NCBI BLink).
AT2G33450.1,Ribosomal L28 family
AT3G02420.1,unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: membrane;EXPRESSED IN: 25 plant structures;EXPRESSED DURING: 15 growth stages;CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0121 (InterPro:IPR005344);Has 72 Blast hits to 71 proteins in 25 species: Archae - 0;Bacteria - 0;Metazoa - 2;Fungi - 2;Plants - 60;Viruses - 0;Other Eukaryotes - 8 (source: NCBI BLink).
ATCG00650.1,ribosomal protein S18
AT4G24880.1,unknown protein;Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).
AT3G13222.1,GBF-interacting protein 1
AT3G48930.1,"Nucleic acid-binding, OB-fold-like protein"
AT5G52470.1,fibrillarin 1
AT5G35530.1,Ribosomal protein S3 family protein
AT3G13784.1,cell wall invertase 5
AT1G63310.1,unknown protein;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G20362.1);Has 78 Blast hits to 77 proteins in 11 species: Archae - 0;Bacteria - 0;Metazoa - 0;Fungi - 0;Plants - 78;Viruses - 0;Other Eukaryotes - 0 (source: NCBI BLink).
AT5G17790.1,zinc finger (Ran-binding) family protein
AT3G08770.1;AT3G08770.2,lipid transfer protein 6
AT1G73090.1;AT1G73090.2,unknown protein;Has 28 Blast hits to 28 proteins in 12 species: Archae - 0;Bacteria - 0;Metazoa - 0;Fungi - 0;Plants - 28;Viruses - 0;Other Eukaryotes - 0 (source: NCBI BLink).;unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;EXPRESSED IN: 21 plant structures;EXPRESSED DURING: 12 growth stages.
AT2G43090.1,Aconitase/3-isopropylmalate dehydratase protein
AT1G11820.1;AT1G11820.2,O-Glycosyl hydrolases family 17 protein
AT5G24690.1,Protein of unknown function (DUF3411)
AT3G59290.1,ENTH/VHS family protein
AT5G16290.1;AT5G16290.2,VALINE-TOLERANT 1
AT5G01600.1,ferretin 1
AT5G40580.1;AT5G40580.2,20S proteasome beta subunit PBB2
AT3G55005.1,tonneau 1b (TON1b)
AT5G54380.1,protein kinase family protein
AT3G17130.1,Plant invertase/pectin methylesterase inhibitor superfamily protein
AT5G50950.2,FUMARASE 2
AT2G01710.1,Chaperone DnaJ-domain superfamily protein
AT3G16980.1,RNA polymerases M/15 Kd subunit
AT3G28290.1;AT3G28300.1,Protein of unknown function (DUF677)
AT2G45180.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT2G36800.1,don-glucosyltransferase 1
AT1G60950.1,2Fe-2S ferredoxin-like superfamily protein
AT1G09160.1;AT1G09160.2,Protein phosphatase 2C family protein
AT3G17040.1;AT3G17040.2,high chlorophyll fluorescent 107
AT1G15390.1,peptide deformylase 1A
AT4G01700.1,Chitinase family protein
AT2G38550.1,Transmembrane proteins 14C
AT4G35320.1,unknown protein;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G17300.1);Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).
AT1G62660.1,Glycosyl hydrolases family 32 protein
AT2G34810.1,FAD-binding Berberine family protein
AT1G75380.1;AT1G75380.2;AT1G75380.3,bifunctional nuclease in basal defense response 1
AT3G23530.1,Cyclopropane-fatty-acyl-phospholipid synthase
AT2G29320.1,NAD(P)-binding Rossmann-fold superfamily protein
AT1G72690.1,unknown protein;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G17490.1);Has 59 Blast hits to 45 proteins in 9 species: Archae - 0;Bacteria - 0;Metazoa - 0;Fungi - 0;Plants - 59;Viruses - 0;Other Eukaryotes - 0 (source: NCBI BLink).
AT4G13180.1,NAD(P)-binding Rossmann-fold superfamily protein
AT5G47110.1,Chlorophyll A-B binding family protein
AT5G06210.1,RNA binding (RRM/RBD/RNP motifs) family protein
AT2G48120.1;AT2G48120.2,pale cress protein (PAC)
AT1G12350.1,4-phospho-panto-thenoylcysteine synthetase
AT4G39640.1;AT4G39640.2,gamma-glutamyl transpeptidase 1
AT1G72010.1,TCP family transcription factor
AT2G39140.1,pseudouridine synthase family protein
AT4G27380.1,unknown protein;Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).
AT4G14615.1,unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: endomembrane system;EXPRESSED IN: 24 plant structures;EXPRESSED DURING: 15 growth stages;CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2346 (InterPro:IPR018625);BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G52825.1);Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).
AT2G07675.1;ATMG00980.1,Ribosomal protein S12/S23 family protein
AT1G53840.1,pectin methylesterase 1
AT4G27440.1;AT4G27440.2,protochlorophyllide oxidoreductase B
AT3G54090.1,fructokinase-like 1
AT2G16430.2,purple acid phosphatase 10
AT4G23600.1,Tyrosine transaminase family protein
AT5G10810.1,"enhancer of rudimentary protein, putative"
AT5G04710.1,Zn-dependent exopeptidases superfamily protein
AT3G53120.1,Modifier of rudimentary (Mod(r)) protein
AT4G30920.1,Cytosol aminopeptidase family protein
AT2G41350.1;AT2G41350.2,unknown protein;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G21980.1);Has 188 Blast hits to 188 proteins in 66 species: Archae - 0;Bacteria - 12;Metazoa - 90;Fungi - 15;Plants - 54;Viruses - 0;Other Eukaryotes - 17 (source: NCBI BLink).;unknown protein;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G21980.1);Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798;Bacteria - 22429;Metazoa - 974;Fungi - 991;Plants - 531;Viruses - 0;Other Eukaryotes - 9610 (source: NCBI BLink).
AT3G48560.1,chlorsulfuron/imidazolinone resistant 1
AT3G27280.1;AT3G27280.2,prohibitin 4
AT1G27100.1,Actin cross-linking protein
AT1G68760.1,nudix hydrolase  1
AT3G22845.1,emp24/gp25L/p24 family/GOLD family protein
AT1G72610.1,germin-like protein 1
AT1G15670.1,Galactose oxidase/kelch repeat superfamily protein
AT3G29400.1,exocyst subunit exo70 family protein E1
AT4G10000.1;AT4G10000.2,Thioredoxin family protein
AT1G44446.1,Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain
AT3G12200.1;AT3G12200.2,NIMA-related kinase 7
AT1G71840.1,transducin family protein / WD-40 repeat family protein
AT3G03190.1,glutathione S-transferase F11
AT2G30170.1,Protein phosphatase 2C family protein
ATCG00790.1,ribosomal protein L16
AT5G22800.1,"Alanyl-tRNA synthetase, class IIc"
AT2G24580.1,FAD-dependent oxidoreductase family protein
AT1G06000.1,UDP-Glycosyltransferase superfamily protein
AT4G14440.1,3-hydroxyacyl-CoA dehydratase 1
AT1G19350.1;AT1G19350.3;AT1G19350.4;AT1G19350.5;AT1G19350.6,Brassinosteroid signalling positive regulator (BZR1) family protein
AT5G12120.1,Ubiquitin-associated/translation elongation factor EF1B protein
AT4G28780.1,GDSL-like Lipase/Acylhydrolase superfamily protein
AT4G25890.1,60S acidic ribosomal protein family
AT5G26880.1;AT5G26880.2,AGAMOUS-like 26
AT5G43060.1,Granulin repeat cysteine protease family protein
AT5G18580.1,tonneau 2 (TON2)
AT5G04360.1,limit dextrinase
AT4G28025.1;AT4G28025.2,unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast thylakoid membrane;EXPRESSED IN: 23 plant structures;EXPRESSED DURING: 13 growth stages;Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).;unknown protein.
AT4G22930.1,pyrimidin 4
AT1G08130.1,DNA ligase 1
AT4G26100.1,casein kinase 1
AT1G78040.1;AT1G78040.2,Pollen Ole e 1 allergen and extensin family protein
AT3G57150.1,homologue of NAP57
AT1G66580.1,senescence associated gene 24
AT3G43980.1;AT3G44010.1;AT4G33865.1,Ribosomal protein S14p/S29e family protein
AT4G10050.1,esterase/lipase/thioesterase family protein
AT5G16270.1,sister chromatid cohesion 1 protein 4
AT1G61310.1,LRR and NB-ARC domains-containing disease resistance protein
AT5G02870.1;AT5G02870.2,Ribosomal protein L4/L1 family
AT3G01670.1,unknown protein;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G01680.1);Has 121 Blast hits to 111 proteins in 12 species: Archae - 0;Bacteria - 0;Metazoa - 0;Fungi - 0;Plants - 121;Viruses - 0;Other Eukaryotes - 0 (source: NCBI BLink).
AT5G25270.1,Ubiquitin-like superfamily protein
AT1G08510.1,fatty acyl-ACP thioesterases B
AT2G43360.1,Radical SAM superfamily protein
AT1G26761.1,Arabinanase/levansucrase/invertase
AT4G26370.1,antitermination NusB domain-containing protein
AT2G37040.1,PHE ammonia lyase 1
AT2G37470.1,Histone superfamily protein
AT5G23400.1,Leucine-rich repeat (LRR) family protein
AT5G64400.1;AT5G64400.2,CONTAINS InterPro DOMAIN/s: CHCH (InterPro:IPR010625);BEST Arabidopsis thaliana protein match is: Cox19-like CHCH family protein (TAIR:AT5G09570.1);Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0;Bacteria - 0;Metazoa - 736;Fungi - 347;Plants - 385;Viruses - 0;Other Eukaryotes - 339 (source: NCBI BLink).;BEST Arabidopsis thaliana protein match is: Cox19-like CHCH family protein (TAIR:AT5G09570.1);Has 127 Blast hits to 125 proteins in 40 species: Archae - 0;Bacteria - 9;Metazoa - 16;Fungi - 2;Plants - 64;Viruses - 0;Other Eukaryotes - 36 (source: NCBI BLink).
AT3G16230.1;AT3G16230.2;AT3G16230.3,Predicted eukaryotic LigT
AT2G38750.1,annexin 4
AT1G52400.1;AT1G52400.3,beta glucosidase 18
AT4G36390.1,Methylthiotransferase
AT1G48605.1;AT3G18030.1,Flavoprotein;HAL3-like protein A
AT3G24500.1;AT3G24500.2,multiprotein bridging factor 1C
AT1G47500.1,RNA-binding protein 47C'
AT4G02840.1;AT4G02840.2,Small nuclear ribonucleoprotein family protein
AT5G62180.1,carboxyesterase 20
AT2G01890.1,purple acid phosphatase 8
AT3G08860.1,PYRIMIDINE 4
AT4G10030.1,alpha/beta-Hydrolases superfamily protein
AT1G65310.1;AT4G30280.1,xyloglucan endotransglucosylase/hydrolase 17;xyloglucan endotransglucosylase/hydrolase 18
AT5G16040.1,Regulator of chromosome condensation (RCC1) family protein
AT3G09250.1;AT3G09250.2,Nuclear transport factor 2 (NTF2) family protein
AT1G68060.1,microtubule-associated proteins 70-1
AT1G31660.1,CONTAINS InterPro DOMAIN/s: Bystin (InterPro:IPR007955);Has 475 Blast hits to 467 proteins in 210 species: Archae - 0;Bacteria - 9;Metazoa - 155;Fungi - 139;Plants - 55;Viruses - 0;Other Eukaryotes - 117 (source: NCBI BLink).
AT4G30720.1,FAD/NAD(P)-binding oxidoreductase family protein
AT3G18740.1,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein
AT2G33590.1,NAD(P)-binding Rossmann-fold superfamily protein
AT1G02840.1;AT1G02840.2;AT1G02840.3,RNA-binding (RRM/RBD/RNP motifs) family protein
AT5G14460.1,Pseudouridine synthase family protein
AT4G31850.1,proton gradient regulation 3
AT1G08190.1,vacuolar protein sorting 41
AT1G18490.1,Protein of unknown function (DUF1637)
AT4G26620.1,Sucrase/ferredoxin-like family protein
AT1G07010.1;AT1G07010.2,Calcineurin-like metallo-phosphoesterase superfamily protein
AT3G14600.1,Ribosomal protein L18ae/LX family protein
AT4G11640.1,serine racemase
AT1G34360.1,translation initiation factor 3 (IF-3) family protein
AT5G08100.1,N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein
AT4G19540.1,IND1(iron-sulfur protein required for NADH dehydrogenase)-like
AT1G55805.1,BolA-like family protein
AT1G47490.1,RNA-binding protein 47C
AT5G06340.1,nudix hydrolase homolog 27
AT5G47720.1;AT5G47720.2;AT5G47720.3;AT5G47720.4,Thiolase family protein
AT1G24110.1,Peroxidase superfamily protein
AT2G27710.1;AT2G27710.2;AT2G27710.3;AT2G27710.4,60S acidic ribosomal protein family
AT1G23360.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT2G39460.1;AT2G39460.2;AT3G55280.1;AT3G55280.2;AT3G55280.3,ribosomal protein L23AA;ribosomal protein L23AA;ribosomal protein L23AB;ribosomal protein L23AB;ribosomal protein L23AB
AT1G21350.2;AT1G21350.3,Thioredoxin superfamily protein
AT4G23430.1;AT4G23430.2,NAD(P)-binding Rossmann-fold superfamily protein
AT2G32860.1;AT2G32860.2,beta glucosidase 33
AT5G15810.1,"N2,N2-dimethylguanosine tRNA methyltransferase"
AT3G07220.1,SMAD/FHA domain-containing protein
AT5G59890.1;AT5G59890.2,actin depolymerizing factor 4
AT5G01270.1;AT5G01270.2,carboxyl-terminal domain (ctd) phosphatase-like 2
AT1G45230.1;AT1G45230.2,Protein of unknown function (DUF3223)
AT5G07030.1,Eukaryotic aspartyl protease family protein
AT1G60850.1;AT1G60850.2,DNA-directed RNA polymerase family protein
AT1G62850.2;AT1G62850.3,Class I peptide chain release factor
AT5G50840.1;AT5G50840.2,CONTAINS InterPro DOMAIN/s: Taxilin (InterPro:IPR019132);Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12;Bacteria - 1396;Metazoa - 17338;Fungi - 3422;Plants - 5037;Viruses - 0;Other Eukaryotes - 2996 (source: NCBI BLink).;CONTAINS InterPro DOMAIN/s: Taxilin (InterPro:IPR019132);Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798;Bacteria - 22429;Metazoa - 974;Fungi - 991;Plants - 531;Viruses - 0;Other Eukaryotes - 9610 (source: NCBI BLink).
AT3G03640.1,beta glucosidase 25
AT1G45201.1,triacylglycerol lipase-like 1
AT1G31710.1,Copper amine oxidase family protein
AT2G39330.1,jacalin-related lectin 23
AT2G46650.1,cytochrome B5 isoform C
AT1G52930.1,Ribosomal RNA processing Brix domain protein
AT5G25540.1,CTC-interacting domain 6
AT1G07070.1;AT1G74270.1,Ribosomal protein L35Ae family protein
AT4G16510.1,YbaK/aminoacyl-tRNA synthetase-associated domain
AT4G32050.1,neurochondrin family protein
AT5G01930.1,Glycosyl hydrolase superfamily protein
AT4G38200.1,SEC7-like guanine nucleotide exchange family protein
AT1G69460.1,emp24/gp25L/p24 family/GOLD family protein
AT5G63060.1,Sec14p-like phosphatidylinositol transfer family protein
AT5G37190.1,COP1-interacting protein 4
AT1G10360.1,glutathione S-transferase TAU 18
AT3G10230.1;AT3G10230.2,lycopene cyclase
AT1G23205.1,Plant invertase/pectin methylesterase inhibitor superfamily protein
AT3G47590.1,alpha/beta-Hydrolases superfamily protein
AT1G10170.1,NF-X-like 1
AT1G02130.1,RAS 5
AT1G55360.1,Protein of Unknown Function (DUF239)
AT3G18680.1,Amino acid kinase family protein
AT2G20490.1;AT2G20490.2,nucleolar RNA-binding Nop10p family protein
AT4G26110.1;AT4G26110.2,nucleosome assembly protein1;1;nucleosome assembly protein1;1
AT5G27640.1;AT5G27640.2,translation initiation factor 3B1
AT3G55270.1,mitogen-activated protein kinase phosphatase 1
AT5G51120.1,polyadenylate-binding protein 1
AT1G79080.1,Pentatricopeptide repeat (PPR) superfamily protein
AT3G05680.1;AT3G05680.2,embryo defective 2016
AT2G31810.1,ACT domain-containing small subunit of acetolactate synthase protein
AT1G14250.1,GDA1/CD39 nucleoside phosphatase family protein
AT4G16710.1;AT4G16710.2,glycosyltransferase family protein 28
AT1G52760.1,lysophospholipase 2
AT1G78970.1;AT1G78970.2,lupeol synthase 1
AT5G43450.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT5G64610.1,histone acetyltransferase of the MYST family 1
AT5G07460.1,peptidemethionine sulfoxide reductase 2
AT3G12070.1;AT3G12070.2,RAB geranylgeranyl transferase beta subunit 2
AT1G74590.1,glutathione S-transferase TAU 10
AT3G16290.1,AAA-type ATPase family protein
AT4G36730.1;AT4G36730.2,G-box binding factor 1
AT4G40010.1,SNF1-related protein kinase 2.7
AT4G30610.1,alpha/beta-Hydrolases superfamily protein
AT2G34260.1,transducin family protein / WD-40 repeat family protein
AT1G35340.1;AT1G35340.4,ATP-dependent protease La (LON) domain protein
AT1G52410.1;AT1G52410.2,TSK-associating protein 1
AT4G10300.1,RmlC-like cupins superfamily protein
AT3G26900.1;AT3G26900.2;AT3G26900.3,shikimate kinase like 1
AT1G77750.1,Ribosomal protein S13/S18 family
AT3G25700.1,Eukaryotic aspartyl protease family protein
AT1G30070.1;AT1G30070.2,SGS domain-containing protein
ATCG00660.1,ribosomal protein L20
AT3G14940.1,phosphoenolpyruvate carboxylase 3
AT2G04570.1,GDSL-like Lipase/Acylhydrolase superfamily protein
AT4G14420.1,HR-like lesion-inducing protein-related
AT3G04490.1,unknown protein;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G38092.1);Has 75 Blast hits to 64 proteins in 20 species: Archae - 0;Bacteria - 0;Metazoa - 36;Fungi - 0;Plants - 22;Viruses - 0;Other Eukaryotes - 17 (source: NCBI BLink).
AT4G25680.1,PPPDE putative thiol peptidase family protein
AT1G02160.1;AT1G02160.2,Cox19 family protein (CHCH motif)
AT5G58310.1,methyl esterase 18
AT1G67140.1;AT1G67140.2;AT1G67140.3,HEAT repeat-containing protein
AT3G17465.1,ribosomal protein L3 plastid
AT5G12110.1,"Glutathione S-transferase, C-terminal-like;Translation elongation  factor EF1B/ribosomal protein S6"
AT3G61520.1;AT5G28370.1;AT5G28460.1,Pentatricopeptide repeat (PPR) superfamily protein
AT2G21230.1;AT2G21230.2;AT2G21230.3,Basic-leucine zipper (bZIP) transcription factor family protein
AT5G17550.1,peroxin 19-2
AT3G04650.1,FAD/NAD(P)-binding oxidoreductase family protein
AT4G25960.1,P-glycoprotein 2
AT4G38370.1,Phosphoglycerate mutase family protein
AT3G51030.1,thioredoxin H-type 1
AT5G05960.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT4G33520.2;AT4G33520.3,P-type ATP-ase 1
AT3G12210.2,DNA binding
AT3G50000.1,"casein kinase II, alpha chain 2"
AT5G16870.1,Peptidyl-tRNA hydrolase II (PTH2) family protein
AT1G49510.1,embryo defective 1273
AT1G03110.1,Transducin/WD40 repeat-like superfamily protein
AT4G21860.1;AT4G21860.3,methionine sulfoxide reductase B 2
AT4G15440.1,hydroperoxide lyase 1
AT1G67660.1;AT1G67660.2;AT1G67660.3,"Restriction endonuclease, type II-like superfamily protein;Restriction endonuclease, type II-like superfamily protein;Restriction endonuclease, type II-like superfamily protein"
AT4G19810.1,Glycosyl hydrolase family protein with chitinase insertion domain
AT1G09390.1,GDSL-like Lipase/Acylhydrolase superfamily protein
AT1G07080.1,Thioredoxin superfamily protein
AT3G55040.1,glutathione transferase lambda 2
AT5G06770.1,KH domain-containing protein / zinc finger (CCCH type) family protein
AT5G47930.1,Zinc-binding ribosomal protein family protein
AT5G60990.1,DEA(D/H)-box RNA helicase family protein
AT1G76760.1,thioredoxin Y1
AT2G34560.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G80050.1,adenine phosphoribosyl transferase 2
AT5G41685.1,"Mitochondrial outer membrane translocase complex, subunit Tom7"
AT3G02860.1;AT3G02860.2,zinc ion binding
AT5G64040.1,"photosystem I reaction center subunit PSI-N, chloroplast, putative / PSI-N, putative (PSAN)"
AT1G20850.1,xylem cysteine peptidase 2
AT3G15950.1;AT3G15950.2,DNA topoisomerase-related
AT2G28450.1;AT2G28450.2,zinc finger (CCCH-type) family protein
AT2G46930.1,Pectinacetylesterase family protein
AT5G63960.1;AT5G63960.2,DNA binding;nucleotide binding;nucleic acid binding;DNA-directed DNA polymerases;DNA-directed DNA polymerases;DNA binding;nucleotide binding;nucleic acid binding;DNA-directed DNA polymerases;DNA-directed DNA polymerases
AT1G06900.1,Insulinase (Peptidase family M16) family protein
AT3G15680.1,Ran BP2/NZF zinc finger-like superfamily protein
AT1G58250.1;AT1G58250.2,Golgi-body localisation protein domain;RNA pol II promoter Fmp27 protein domain;Golgi-body localisation protein domain;RNA pol II promoter Fmp27 protein domain
AT5G41370.1,homolog of xeroderma pigmentosum complementation group B 1
AT4G20330.1,"Transcription initiation factor TFIIE, beta subunit"
AT2G02500.1,Nucleotide-diphospho-sugar transferases superfamily protein
AT3G03590.1,SWIB/MDM2 domain superfamily protein
AT5G15530.1,biotin carboxyl carrier protein 2
AT3G20270.1;AT3G20270.2;AT3G20270.3,lipid-binding serum glycoprotein family protein
AT5G51220.1,ubiquinol-cytochrome C chaperone family protein
AT4G35350.1,xylem cysteine peptidase 1
AT1G65870.1,Disease resistance-responsive (dirigent-like protein) family protein
AT1G50140.1;AT1G50140.2,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT3G46490.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G74000.1,strictosidine synthase 3
AT3G10450.1;AT3G10450.2,serine carboxypeptidase-like 7
AT3G44450.1,unknown protein;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G52740.1);Has 63 Blast hits to 63 proteins in 12 species: Archae - 0;Bacteria - 0;Metazoa - 0;Fungi - 0;Plants - 63;Viruses - 0;Other Eukaryotes - 0 (source: NCBI BLink).
AT4G09980.1;AT4G09980.2,Methyltransferase MT-A70 family protein
AT1G28610.2,GDSL-like Lipase/Acylhydrolase superfamily protein
AT5G52810.1,NAD(P)-binding Rossmann-fold superfamily protein
AT4G16690.1,methyl esterase 16
AT1G52040.1,myrosinase-binding protein 1
AT1G59700.1,glutathione S-transferase TAU 16
AT1G66980.1,suppressor of npr1-1 constitutive 4
AT1G27150.1,Tetratricopeptide repeat (TPR)-like superfamily protein
AT5G10910.1,mraW methylase family protein
AT2G24860.1,DnaJ/Hsp40 cysteine-rich domain superfamily protein
AT3G21190.1,O-fucosyltransferase family protein
AT5G02230.1;AT5G02230.2,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
AT3G02950.1,Tho complex subunit 7/Mft1p
AT4G27020.1,unknown protein;FUNCTIONS IN: molecular_function unknown;LOCATED IN: vacuole;BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G54870.1);Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0;Bacteria - 0;Metazoa - 736;Fungi - 347;Plants - 385;Viruses - 0;Other Eukaryotes - 339 (source: NCBI BLink).
AT3G50560.1,NAD(P)-binding Rossmann-fold superfamily protein
AT4G16570.1,protein arginine methyltransferase 7
AT2G41310.1;AT3G57040.1,response regulator 3;response regulator 9
AT4G32560.1;AT4G32560.2;AT4G32560.3,paramyosin-related
AT4G02410.1,Concanavalin A-like lectin protein kinase family protein
AT3G57490.1,Ribosomal protein S5 family protein
AT1G72920.1;AT1G72940.1,Toll-Interleukin-Resistance (TIR) domain family protein;Toll-Interleukin-Resistance (TIR) domain-containing protein
AT3G44590.1;AT3G44590.2,60S acidic ribosomal protein family
AT3G02060.1;AT3G02060.2,"DEAD/DEAH box helicase, putative;DEAD/DEAH box helicase, putative"
AT2G46320.1;AT2G46320.2;AT2G46320.3,Mitochondrial substrate carrier family protein
AT1G09490.1,NAD(P)-binding Rossmann-fold superfamily protein
AT1G09900.1,Pentatricopeptide repeat (PPR-like) superfamily protein
AT4G04670.1,Met-10+ like family protein / kelch repeat-containing protein
AT1G52030.1;AT1G52030.2,myrosinase-binding protein 2
AT4G25300.1;AT4G25300.2;AT4G25310.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
